UUID,Überbegriff,Thema,Subthema,Beschreibung,AWS,GCP,Azure
e9ff1fa5-4bd1-4c7a-9909-d156e8ed08eb,Regulatorik,Information Security / Governance,ISO 27001,Der Cloud-Service-Provider erfüllt die ISO 27001-Norm zur Gewährleistung eines effektiven Informationssicherheitsmanagements und zur Einhaltung von Governance-Vorgaben.,True,True,True
04ce7817-9402-4649-80ed-e301f3378096,Regulatorik,Information Security / Governance,IT Grundschutz,Der Cloud-Service-Provider gewährleistet die Einhaltung des IT-Grundschutzes zur Sicherstellung von Informationssicherheit und Governance.,False,False,False
cda7d71a-ec2d-4f5c-a829-9e93a82384be,Regulatorik,Information Security / Governance,BSI C5 - Basiskriterium,"Das BSI C5 - Basiskriterium stellt sicher, dass Cloud-Service-Provider angemessene Maßnahmen zur Informationssicherheit und Governance implementieren, um den Schutz sensibler Daten zu gewährleisten.",True,True,True
c27d6c6c-b1f4-4665-aa3e-b325f3ff620e,Regulatorik,Information Security / Governance,BSI C5 einschließlich Zusatzkriterien,"Der Cloud-Service-Provider erfüllt die BSI C5-Anforderungen zur Informationssicherheit und Governance, einschließlich zusätzlicher Kriterien zur Gewährleistung eines hohen Sicherheitsniveaus.",False,False,False
13d43613-1613-4444-8bfa-b8ff5214fba0,Regulatorik,Information Security / Governance,ISO 27017,ISO 27017 bietet Leitlinien zur Informationssicherheit in Cloud-Umgebungen und unterstützt die Governance durch spezifische Sicherheitskontrollen für Cloud-Dienste.,True,True,True
0bae63ca-5d9b-4ac6-9308-aa354c65de96,Regulatorik,Information Security / Governance,ISO 27018,"ISO 27018 ist ein internationaler Standard, der Datenschutzrichtlinien für Cloud-Dienste festlegt und sicherstellt, dass persönliche Daten von Nutzern angemessen geschützt werden.",True,True,True
96b13f92-c6e4-4538-85eb-b234b545690b,Regulatorik,Information Security / Governance,CSA STAR,"Der CSA STAR ist ein Zertifizierungsprogramm, das Cloud-Service-Provider auf ihre Informationssicherheits- und Governance-Praktiken bewertet und Transparenz für Kunden schafft.",True,True,True
167e30d4-7a8b-4bfd-9624-7e338d98bbf5,Regulatorik,Information Security / Governance,SOC 1,"SOC 1 ist ein Prüfungsstandard, der die internen Kontrollen eines Cloud-Service-Providers in Bezug auf die Finanzberichterstattung bewertet und sicherstellt, dass diese den Anforderungen an Informationssicherheit und Governance entsprechen.",True,True,True
90b5f187-bef4-4330-8d38-0daa69eeb238,Regulatorik,Information Security / Governance,SOC 2,"SOC 2 ist ein Standard, der die Sicherheits- und Datenschutzpraktiken von Cloud-Service-Providern bewertet, um das Vertrauen in deren Informationssicherheit und Governance zu stärken.",True,True,True
4ae8683a-8fab-42f3-9def-111db591ee78,Regulatorik,Information Security / Governance,PCI DSS,Der Cloud-Service-Provider erfüllt die PCI DSS-Anforderungen zur Sicherstellung des Schutzes von Zahlungsdaten und zur Gewährleistung einer sicheren Zahlungsabwicklung.,True,True,True
